,,06-01-2018,06-02-2018,06-03-2018,06-04-2018,06-05-2018,06-06-2018,06-07-2018,06-08-2018,06-09-2018,06-10-2018,06-11-2018,06-12-2018,6/13/2018,6/14/2018,6/15/2018,6/16/2018,6/17/2018,6/18/2018,6/19/2018,6/20/2018,6/21/2018,6/22/2018,6/23/2018,6/24/2018,6/25/2018,6/26/2018,6/27/2018,6/28/2018,6/29/2018,6/30/2018
2,PP_PCS,419,441,,197,101,185,268,342,383,,416,425,457,457,457,295,,59,88,115,168,221,264,,274,317,327,370,379,423
2,SAH_HRS,96,101,,45,27,48,70,89,100,,109,111,120,120,120,77,,12,18,24,35,45,54,,56,65,67,76,78,87
2,PEF_PER,44,49,,37,12,22,32,41,46,,50,51,55,55,55,28,,6,8,11,16,21,25,,26,30,31,35,36,40
2.1,PP_PCS,72,144,,216,289,361,361,361,361,,361,361,362,361,361,97,,133,203,274,344,353,353,,287,58,88,115,167,219
2.1,SAH_HRS,15,30,,46,61,76,76,76,76,,76,76,76,76,76,21,,29,44,59,74,76,76,,62,12,18,24,35,46
2.1,PEF_PER,7,14,,21,28,35,35,35,35,,35,35,35,35,35,28,,13,20,27,34,35,35,,18,6,8,11,16,21
6,PP_PCS,191,233,,265,274,283,291,300,304,,304,304,304,282,129,191,,253,316,378,440,502,564,,627,684,689,746,746,746
6,SAH_HRS,48,58,,66,69,71,73,75,76,,76,76,76,70,23,33,,44,55,66,77,88,99,,110,120,120,130,130,130
6,PEF_PER,22,27,,31,32,33,34,35,35,,35,35,35,18,10,15,,20,25,30,35,40,45,,50,55,55,60,60,60
6.1,PP_PCS,175,192,,209,228,253,261,270,279,,287,296,304,295,126,188,,251,313,375,437,499,562,,624,684,686,746,746,746
6.1,SAH_HRS,44,48,,52,57,63,65,68,70,,72,74,76,74,22,33,,44,55,66,76,87,98,,109,120,120,130,130,130
6.1,PEF_PER,20,22,,24,26,29,30,31,32,,33,34,35,18,10,15,,20,25,30,35,40,45,,50,55,55,60,60,60
8,PP_PCS,403,111,,221,332,443,499,553,554,,462,140,202,264,327,389,,451,513,575,638,684,700,,746,746,746,746,746,746
8,SAH_HRS,63,22,,43,65,87,98,109,109,,91,24,35,46,57,68,,79,90,101,111,120,122,,130,130,130,130,130,130
8,PEF_PER,60,10,,20,30,40,45,50,50,,29,11,16,21,26,31,,36,41,46,51,55,56,,60,60,60,60,60,60
8.1,PP_PCS,354,100,,216,327,438,496,552,554,,478,138,200,262,325,387,,449,511,574,636,684,698,,746,746,746,746,746,746
8.1,SAH_HRS,55,20,,42,64,86,97,108,109,,94,24,35,46,57,68,,79,89,100,111,120,122,,130,130,130,130,130,130
8.1,PEF_PER,60,9,,19,29,39,45,50,50,,28,11,16,21,26,31,,36,41,46,51,55,56,,60,60,60,60,60,60
1,PP_PCS,464,438,,442,442,468,540,540,540,,540,540,540,540,540,540,,540,540,540,540,540,540,,540,540,540,540,540,540
1,SAH_HRS,112,108,,98,98,104,120,120,120,,120,120,120,120,120,120,,120,120,120,120,120,120,,120,120,120,120,120,120
1,PEF_PER,52,48,,45,45,50,55,55,55,,55,55,55,55,55,55,,55,55,55,55,55,55,,55,55,55,55,55,55
1.1,PP_PCS,450,442,,442,442,521,540,540,540,,540,540,540,540,540,540,,540,540,540,540,540,540,,540,540,540,540,540,540
1.1,SAH_HRS,100,98,,98,98,115,120,120,120,,120,120,120,120,120,120,,120,120,120,120,120,120,,120,120,120,120,120,120
1.1,PEF_PER,48,45,,45,45,50,55,55,55,,55,55,55,55,55,55,,55,55,55,55,55,55,,55,55,55,55,55,55
3,PP_PCS,491,553,,578,579,578,578,578,578,,578,578,578,578,578,578,,578,578,578,578,578,578,,578,578,578,578,578,578
3,SAH_HRS,109,117,,120,120,120,120,120,120,,120,120,120,120,120,120,,120,120,120,120,120,120,,120,120,120,120,120,120
3,PEF_PER,50,52,,55,55,55,55,55,55,,55,55,55,55,55,55,,55,55,55,55,55,55,,55,55,55,55,55,55
3.1,PP_PCS,506,578,,578,578,578,578,578,578,,578,578,578,578,578,578,,578,578,578,578,578,578,,578,578,578,577,578,578
3.1,SAH_HRS,112,120,,120,120,120,120,120,120,,120,120,120,120,120,120,,120,120,120,120,120,120,,120,120,120,119,120,120
3.1,PEF_PER,52,55,,55,55,55,55,55,55,,55,55,55,55,55,55,,55,55,55,55,55,55,,55,55,55,55,55,55
4,PP_PCS,123,252,,330,67,77,97,144,193,,242,245,291,295,340,344,,389,393,409,420,420,420,,420,420,420,420,303,237
4,SAH_HRS,25,52,,68,14,17,21,32,43,,54,54,65,65,75,76,,86,87,87,87,87,87,,87,87,87,87,63,49
4,PEF_PER,12,25,,31,20,8,10,15,20,,25,25,30,30,35,35,,40,40,40,40,40,40,,40,40,40,40,29,22
4.1,PP_PCS,143,192,,241,109,68,91,129,178,,228,245,277,295,326,344,,375,393,395,420,420,420,,420,420,420,420,398,215
4.1,SAH_HRS,32,42,,53,24,15,20,29,40,,50,54,61,65,72,76,,83,87,87,87,87,87,,87,87,87,87,82,44
4.1,PEF_PER,15,20,,25,14,7,9,13,18,,23,25,28,30,33,35,,38,40,40,40,40,40,,40,40,40,40,28,20
5,PP_PCS,2023,2023,,2023,2026,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2025,2023,,2023,2024,2023,2023,2023,2026
5,SAH_HRS,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131
5,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
5.1,PP_PCS,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2024,2026,2023,,2023,2023,2023,2023,2023,2024,,2023,2023,2026,2023,2023,2023
5.1,SAH_HRS,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131
5.1,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
7,PP_PCS,2023,2023,,2023,2023,2023,2024,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2022,2023,2023
7,SAH_HRS,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,130,131,131
7,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
7.1,PP_PCS,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2022
7.1,SAH_HRS,131,131,,131,131,131,130,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,130,131,131,130
7.1,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
11,PP_PCS,1335,1850,,793,,,,64,169,,231,293,355,418,480,542,,604,666,684,729,764,789,,805,809,809,807,809,809
11,SAH_HRS,75,104,,45,,,,11,30,,40,51,62,73,84,95,,106,117,120,127,134,138,,141,141,141,141,141,141
11,PEF_PER,35,52,,65,,,,7,14,,19,24,29,34,39,44,,49,54,55,59,61,63,,65,65,65,65,65,65
11.1,PP_PCS,,,,,,,11,143,205,,267,329,392,454,516,578,,640,684,703,754,779,800,,809,809,807,809,809,871
11.1,SAH_HRS,,,,,,,2,25,36,,47,58,68,79,90,101,,112,120,123,132,136,140,,141,141,141,141,141,152
11.1,PEF_PER,,,,,,,3,11,16,,21,26,31,36,41,46,,51,55,56,61,63,64,,65,65,65,65,65,70
12,PP_PCS,1675,2265,,2433,2565,2654,2653,2639,2599,,1357,122,165,207,249,292,,342,398,732,882,623,292,,124,164,204,244,284,336
12,SAH_HRS,84,111,,120,126,130,130,130,130,,69,13,17,21,26,30,,35,41,75,91,64,30,,13,18,22,27,31,37
12,PEF_PER,41,51,,55,59,60,60,60,60,,48,6,8,10,12,14,,16,19,34,40,29,17,,6,8,10,12,14,17
12.1,PP_PCS,1,310,,462,613,764,916,1067,1219,,1370,1521,1665,1673,1820,1880,,1939,1968,1968,1968,1968,1968,,1968,1968,1968,1968,1968,1968
12.1,SAH_HRS,,22,,33,44,55,66,77,88,,98,109,120,120,131,135,,139,141,141,141,141,141,,141,141,141,141,141,141
12.1,PEF_PER,,10,,15,20,25,30,35,40,,45,50,55,55,60,62,,64,65,65,65,65,65,,65,65,65,65,65,65
13,PP_PCS,890,1113,,1803,2895,2896,2900,2788,548,,588,739,891,1042,1194,1345,,1496,1648,1665,1799,1817,1817,,1817,1817,1817,1817,1817,1817
13,SAH_HRS,43,54,,88,141,141,142,136,36,,42,53,64,75,86,97,,107,118,120,129,130,130,,130,130,130,130,130,130
13,PEF_PER,20,25,,47,65,65,65,65,40,,19,24,29,34,39,44,,49,54,55,59,60,60,,60,60,60,60,60,60
13.1,PP_PCS,1302,1470,,1639,1807,1855,1976,2023,2023,,2023,2023,2023,2023,2023,2020,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2021,2023,2023
13.1,SAH_HRS,84,95,,106,117,120,127,131,131,,131,131,131,131,131,130,,131,131,131,131,131,131,,131,131,131,130,131,131
13.1,PEF_PER,39,44,,49,54,55,59,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
15,PP_PCS,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2024,2023,,2022,2023,2023,2023,2023,2023
15,SAH_HRS,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,130,131,131,131,131,131
15,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
15.1,PP_PCS,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2024,2023
15.1,SAH_HRS,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131
15.1,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
16,PP_PCS,2023,2023,,2023,2023,2023,2023,2020,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2021,,2023,2023,2023,2023,2023,2023
16,SAH_HRS,131,131,,131,131,131,131,130,131,,131,131,131,131,131,131,,131,131,131,131,131,130,,131,131,131,131,131,131
16,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
16.1,PP_PCS,2023,2023,,2023,2023,2023,2023,2022,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023,,2023,2023,2023,2023,2023,2023
16.1,SAH_HRS,131,131,,131,131,131,131,130,131,,131,131,131,131,131,131,,131,131,131,131,131,131,,131,131,131,131,131,131
16.1,PEF_PER,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60,,60,60,60,60,60,60
14,PP_PCS,2196,2198,,2198,2201,2198,2196,2195,2198,,2195,2199,2198,2196,2198,2198,,2195,2198,2196,2195,2197,2198,,2197,2196,2198,2201,2202,2203
14,SAH_HRS,141,141,,141,142,141,141,141,141,,141,142,141,141,141,141,,141,141,141,141,141,141,,141,141,141,142,141,141
14,PEF_PER,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65
14.1,PP_PCS,2626,2837,,2853,2872,2875,2875,2878,2875,,2875,2876,2875,2868,2872,2844,,2847,2868,2877,2864,2867,2872,,2873,2874,2873,2879,2877,2866
14.1,SAH_HRS,130,140,,141,141,141,141,141,141,,141,141,141,141,141,141,,142,141,142,141,141,141,,141,141,141,142,141,141
14.1,PEF_PER,52,65,,65,65,65,65,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65,,65,65,65,65,65,65
